Forma,Elevacion.x,Ancho,Velocidad,Rocas,Canto,grava,arena,Limo,NAtemp,NASatO2
Trapecio1,23,16,5,20,25,30,20,0,27.33,92.04
Trapecio2,31,11,0,20,45,20,15,0,27.81,100.03
Trapecio3,35,14,10,30,30,20,10,0,24.27,96.82
Trapecio4,9,5,2,0,0,0,50,50,27.06,64.35
Trapecio5,43,11,9,10,40,10,20,20,26.6,110.39
Trapecio6,23,11,5,20,60,20,0,0,23.82,106.09
Trapecio7,86,11,13,0,80,20,20,0,22.92,104.97
Trapecio8,26,3,11,0,30,20,25,25,27.24,82.73
Trapecio9,24,3,14,5,25,35,20,15,26.53,77.81
Trapecio10,53,11,4,0,70,5,20,5,23.85,100.97
Trapecio11,24,11,3,0,70,20,10,0,23.84,101.41
Trapecio12,619,2,14,30,30,20,20,0,21.92,95.65
Trapecio13,598,3,14,20,30,20,10,20,22.78,93.89
Trapecio14,583,3,14,20,30,20,10,20,26.1,101.27
Trapecio15,114,2,11,0,15,30,25,15,25.82,77.78
Trapecio16,46,3,14,0,5,20,40,35,26.93,84.61
Trapecio17,46,3,16,0,1,40,40,19,26.08,78.53
Trapecio18,158,11,4,40,50,5,5,0,26.13,101.74
Trapecio19,34,11,4,0,70,15,15,0,27.33,101.61
Trapecio20,1818,2.052,13.025,30.3,36.22380952,21.275,9.805,3.768214286,15.68,80.77
Trapecio21,205,11,4,0,80,10,10,0,25.96,110.9
Trapecio22,38,3,13,0,40,30,20,10,28.73,107.5
Trapecio23,98,3,14,25,25,15,25,10,27.91,94.3
Trapecio24,49,3,15,10,60,10,10,10,29.24,100.2
Trapecio25,29,3,14,5,25,30,25,15,29.11,98.75
Trapecio26,99,3,14,25,40,0,10,25,27.52,96.7
Trapecio27,20,3,14,15,15,5,30,35,26.6,70.86
Trapecio28,82,1,11,60,0,20,20,0,28.96,107.91
Trapecio29,43,2,11,0,50,50,0,0,29.57,102.19
Trapecio30,17,3,2,0,33.3,33.3,33.3,0,28.04,108.53
Trapecio31,149,3,3,90,10,0,0,0,30.62,122.73
Trapecio32,10,1,14,15,20,40,10,15,28.76,91.06
Trapecio33,28,1,14,10,70,10,0,10,28.63,96.41
Trapecio34,18,1,12,10,20,50,10,10,29.35,96.81
Trapecio35,85,1,14,10,20,50,10,10,29.87,98.19
Trapecio36,130,2,2,0,30,0,70,0,27.32,113.66
Trapecio37,51,2,10,35,50,0,15,0,27.48,104.84
Trapecio38,198,1,3,90,0,0,10,0,25.59,100.15
Trapecio39,13,1,3,33.3,33.3,0,0,33.3,30.5,86.63
Trapecio40,53,2,3,0,0,50,50,0,27.31,75.13
Trapecio41,492,2,14,50,20,10,10,10,23.72,95.63
Trapecio42,428,2,14,20,40,20,10,10,23.16,96.42
Trapecio43,49,3,11,0,10,30,50,10,26.67,88.13
Trapecio44,67,3,12,20,40,20,10,10,25.59,94.67
Trapecio45,67,1,11,10,60,20,5,5,25.66,98.25
Trapecio46,100,2,9,20,35,25,15,5,26.83,76.25
Trapecio47,83,1,14,50,30,10,5,5,26.3,90.15
Trapecio48,63,1,12,10,60,20,5,5,26.9,85.65
Trapecio49,60,3,12,10,5,5,30,50,27.15,89.74
Trapecio50,25,3,11,0,70,20,5,5,26.02,93.99
Trapecio51,30,3,11,0,10,40,40,10,27.18,93.44
Trapecio52,50,2,3,0,0,0,50,50,24,94.52
Trapecio53,36,2,3,0,0,10,20,70,23.97,94.67
Trapecio54,22,3,11,0,20,60,10,10,25.92,89.17
Trapecio55,11,2,12,0,0,80,20,0,25.7,85.6
Trapecio56,71,3,14,5,50,20,15,10,28.17,88.76
Trapecio57,15,3,12,0,10,70,10,10,26.92,87.13
Trapecio58,85,3,9,5,60,20,10,5,27.7,93.87
Trapecio59,21,3,11,0,10,60,20,10,30.13,84.95
Trapecio60,659,2,13,10,70,20,0,0,24.38,102.07
Trapecio61,615,3,14,30,30,30,10,0,25.93,108.25
Trapecio62,517,3,14,50,30,10,10,0,24.31,104.89
Trapecio63,422,2,14,30,40,20,10,0,25.4,107.65
Trapecio64,363,3,14,30,40,20,5,5,25.82,109.81
Trapecio65,117,3,14,10,70,10,10,0,26.55,107.03
Trapecio66,244,2,9,25,30,25,15,5,25.44,93.92
Trapecio67,15,2,11,0,0,40,40,20,30.89,103.13
Trapecio68,22,3,14,10,40,30,15,5,26.67,88.36
Trapecio69,1114,1,10,75,15,0,10,0,19.28,96.1
Trapecio70,353,1,14,40,20,20,20,0,22.5,98.99
Trapecio71,314,1,14,50,10,20,20,0,23.34,98.24
Trapecio72,1630,1,14,30,25,25,0,20,18.2,98.95
Trapecio73,628,1,14,30,20,20,20,10,22.62,97.35
Trapecio74,137,1,14,20,60,10,10,0,24.69,99.36
Trapecio75,51,2,14,30,25,25,0,20,26.25,97.75
Trapecio76,27,2,8,40,30,20,10,0,25.09,98.15
U-Shape1,27,12,0,0,0,15,85,0,28.09,63.61
U-Shape2,15,12,0,0,0,10,90,0,29,39.55
U-Shape3,16,12,0,0,0,20,80,0,24.29,87.73
U-Shape4,15,5,2,0,0,0,50,50,28.13,94.16
U-Shape5,6,11,2,0,0,0,50,50,24.02,95.92
U-Shape6,3,11,2,0,0,0,50,50,24.19,94.77
U-Shape7,10,11,2,0,0,0,50,50,24.41,97.41
U-Shape8,8,11,2,0,0,0,0,100,25.6,96.95
U-Shape9,86,11,4,0,65,20,10,5,24.92,103.08
U-Shape10,26,11,2,0,0,0,50,50,24.79,102.53
U-Shape11,9,2,11,0,0,0,0,100,27.18,87.88
U-Shape12,28,5,2,0,0,80,10,10,32.18,110.47
U-Shape13,27,5,1,0,0,60,20,20,30.38,44.79
U-Shape14,21,3,11,0,0,0,40,60,28.97,86.18
U-Shape15,13,3,2,0,0,0,20,80,27.14,75.82
U-Shape16,23,3,2,0,0,0,50,50,29.07,98.27
U-Shape17,23,3,2,0,0,0,0,100,30.9,93.3
U-Shape18,11,3,2,0,0,0,0,100,29.04,91.26
U-Shape19,27,2,3,0,0,0,0,100,29.31,56.8
U-Shape20,19,2,2,0,0,0,0,100,28.78,84.2
U-Shape21,43,1,2,0,0,0,0,100,25.26,51.68
U-Shape22,46,2,3,0,0,10,0,90,27.4,76.85
U-Shape23,44,3,12,0,0,0,0,100,27.69,60.43
U-Shape24,53,2,14,0,15,5,15,65,27.77,70.8
U-Shape25,42,3,2,0,0,0,0,100,28.57,60.58
U-Shape26,50,3,2,0,0,0,15,85,28.21,23.43
U-Shape27,42,2,2,0,0,0,5,95,26.8,38.76
U-Shape28,58,3,12,0,0,0,50,50,27.36,88.39
U-Shape29,43,2,3,0,0,0,100,0,24.96,102.86
U-Shape30,51,2,11,0,0,50,50,0,26.39,89.33
U-Shape31,15,3,2,0,0,0,50,50,31.99,61.38
U-Shape32,22,2,11,0,0,0,50,50,29.82,70.69
U-Shape33,13,2,11,0,5,35,30,30,29.9,77.13
V-Shape1,115,5,9,0,80,10,10,0,25.72,102.6
V-Shape2,491,2,14,35,20,0,35,10,22.67,99.85
V-Shape3,524,3,14,40,30,20,10,0,22.78,97.7
V-Shape4,98,2,14,25,30,25,15,5,25.45,94.93
V-Shape5,275,11,14,20,25,25,25,5,23.32,93.07
V-Shape6,1488,2,14,20,40,20,10,10,17.27,91.61
V-Shape7,196,2,15,35,40,10,10,5,26.55,82.44
V-Shape8,291,2,11,30,30,20,15,5,25.19,77.37
V-Shape9,223,11,5,40,50,5,5,0,25.14,100.62
V-Shape10,1346,1.9895,13.507,32.21416667,35.87380952,19.925,11.05666667,4.124214286,19,86.46
V-Shape11,2370,2,15,25,25,35,10,5,14.67,78.55
V-Shape12,17,11,4,30,40,10,10,10,25.34,105.2
V-Shape13,1412,2,15,35,40,15,10,0,16.58,84.2
V-Shape14,490,2,15,20,30,35,15,0,22.06,88.88
V-Shape15,252,3,15,25,30,30,15,0,23.62,96.58
V-Shape16,162,2,14,15,20,15,25,25,26,94.24
V-Shape17,494,2,15,45,25,10,15,5,23.75,86.41
V-Shape18,428,2,15,55,30,5,5,5,25.07,82.38
V-Shape19,358,1,4,30,60,0,10,0,24.5,103.03
V-Shape20,363,1,3,10,40,25,25,0,23.79,97.39
V-Shape21,371,2,6,25,25,20,20,10,23.72,100.08
V-Shape22,1420,1,5,40,40,10,10,0,17.35,104.25
V-Shape23,828,1,4,40,40,10,10,0,20.2,102.14
V-Shape24,952,1,14,50,20,20,10,0,21.83,102.92
V-Shape25,422,2,13,30,40,20,10,0,25.95,105.5
V-Shape26,144,3,15,50,30,10,5,5,26.88,92.18
V-Shape27,200,3,14,15,30,30,20,5,26.01,88.2
V-Shape28,327,2,13,40,30,20,8,2,24.81,91.41
V-Shape29,60,3,15,30,25,10,30,5,25.58,89.52
